step,seq2seq,pilotnet,steer
0,485.1913147,376.1264954,506.3416138
1,350.97229,390.4229126,264.6794128
2,495.4186096,388.3978271,425.4143066
3,567.0665894,501.5834961,435.2786255
4,335.7958679,462.1241455,461.5608826
5,437.2070007,310.8653564,463.9238892
6,686.5089111,339.4876099,402.9246216
7,326.457489,207.7614136,271.6290283
8,182.0609894,1318.280396,648.9563599
9,337.8600159,10336.69824,464.6193237
10,389.3077087,16197.68164,441.3609924
11,479.8670959,10362.74902,411.5852356
12,491.6474304,2783.132568,271.0869446
13,395.4232483,189.6926575,561.3682861
14,366.7556763,254.1202545,534.4622803
15,324.9368896,253.6315765,669.3533936
16,439.5361023,334.3156433,351.4504089
17,403.5914307,311.7555542,490.2384949
18,473.5140686,568.9920654,537.815918
19,422.8055725,1889.554932,497.5739136
20,441.7705994,1314.845947,424.4533691
21,392.4082336,180.9355927,455.7272339
22,207.7933197,146.6546173,519.446228
23,218.7501068,232.2759857,607.8323364
24,244.5330048,222.2527618,396.843689
25,393.4823303,126.79776,485.7006836
26,88.33049774,537.1929932,410.1994934
27,83.82267761,666.5807495,510.9696655
28,313.4456482,1129.594604,589.5158691
29,81.84403229,82.24995422,588.611084
30,73.88529205,87.66574097,467.5210266
31,164.2718506,119.3383331,349.4754028
32,45.71190262,80.97940826,391.9798279
33,27.26450729,31.53703499,506.8146362
34,41.46940231,28.27116013,347.1556396
35,75.5111618,41.32197571,477.3652039
36,33.3197937,125.872757,331.0614014
37,20.04443741,140.7549438,454.0153809
38,56.12654877,46.11615753,415.2695923
39,117.0810165,84.78276825,337.4251099
40,64.35219574,123.5346069,327.9014282
41,175.749939,63.6651001,319.6332397
42,150.9137421,57.11616516,514.9537964
43,123.8540878,22.59901619,467.8913574
44,67.70039368,31.80234337,406.297821
45,42.74179459,26.37167931,386.5670471
46,65.27935791,41.77220917,582.059021
47,128.8837128,44.46325684,609.1916504
48,57.21638107,58.64382935,479.2280884
49,18.56318283,35.80212402,293.0740967
50,16.84523773,29.28510666,356.9963989
51,66.12399292,34.50830078,497.3666077
52,14.34798717,100.3929443,394.8695374
53,101.3699722,18.23259163,551.4307251
54,42.68893433,36.85324097,545.8945923
55,54.63711548,18.21710014,307.7757568
56,10.50040436,18.14141083,700.4033203
57,52.9943428,23.91375732,529.7243652
58,69.73802948,14.12556648,352.5717163
59,120.2838745,46.01783371,373.2931213
60,78.95346069,20.13694572,387.5200195
61,34.79649353,16.68714523,402.030365
62,98.53618622,62.64052963,664.0344238
63,66.43927002,29.00784683,368.6556702
64,80.46331024,80.65562439,395.7920227
65,100.3067093,133.8602905,552.1131592
66,72.8491745,80.98602295,471.0736084
67,170.8907776,27.48841476,430.4630127
68,72.75828552,1020.752869,472.1292725
69,71.06123352,562.9624634,478.2468262
70,115.3134384,204.5350037,503.898407
71,45.79994583,22.16145897,378.576355
72,177.7884979,67.89801788,238.1407776
73,23.46803284,160.6450043,483.4495544
74,23.36991501,95.224617,263.4165039
75,65.78662109,77.80036926,421.9931641
76,101.8802872,1846.282959,450.4269104
77,17.96750259,1216.633667,412.6087036
78,97.23348999,772.5704346,518.9759521
79,16.5337677,368.5179749,378.2230835
80,47.9020195,154.2825775,295.6235657
81,77.54125214,5.487211704,532.6852417
82,43.91915512,84.26152039,366.0836182
83,45.57951736,135.357132,309.4273987
84,84.25650787,145.6914673,278.5706482
85,52.89417267,56.21936798,678.8092651
86,3.811300039,34.2098465,627.7623901
87,81.83210754,49.1328125,486.6119385
88,64.13652039,25.6441555,271.7452087
89,23.65024185,2.677941799,541.9993286
90,28.31686401,9.659718513,582.9284058
91,77.56738281,8.489225388,471.5084229
92,19.33778381,10.83249664,450.4240112
93,37.14647675,5.437250137,240.9849854
94,17.38268471,7.335278511,218.4503174
95,26.50155067,37.75508499,605.3102417
96,58.04332352,8.28955555,422.9743042
97,91.82976532,14.71216106,453.1848755
98,46.43688583,7.441514015,460.8916626
99,73.12037659,38.92675781,183.1010742
100,47.59992218,8.036470413,482.7868652
101,92.53215027,2.890547276,492.7467041
102,48.90726471,21.31029892,466.8158264
103,34.00894928,70.75624084,673.5093384
104,65.86135101,22.568964,486.28125
105,50.76999283,23.54551888,352.1137085
106,37.69483948,18.77926826,493.8859253
107,69.81442261,16.42510223,587.8043823
108,28.640728,7.419665813,289.2730103
109,58.90511322,7.311737537,506.8881836
110,55.21900177,14.73445606,291.2572327
111,85.01011658,10.19351196,390.6889648
112,25.48803329,13.01654339,493.186676
113,48.27807999,2.30645299,530.2877808
114,65.6473465,10.58638191,474.7637939
115,40.82201767,11.34406757,529.9996338
116,46.82108688,6.82387352,279.334259
117,103.4860458,6.018485546,678.5217285
118,37.70576859,15.72282124,354.7595215
119,83.32627869,9.300897598,674.7140503
120,20.54632187,10.44538879,311.4179382
121,77.38362122,12.44114304,750.7654419
122,82.35831451,8.95229435,415.1433105
123,15.03965378,8.302832603,666.9868774
124,40.7408905,15.72809315,498.3971863
125,43.66485977,5.851583958,560.2823486
126,99.13127136,12.55420113,362.5813293
127,51.19430161,14.30677223,600.0075684
128,153.2086639,7.28542757,309.3988037
129,20.48715401,6.932193756,475.2299805
130,96.00054169,6.371592045,638.0933228
131,124.0201721,29.59729958,298.9256897
132,52.98990631,11.89383793,587.0724487
133,46.37195969,5.873401165,379.1008911
134,54.24269104,5.7663908,481.8119202
135,53.16643524,6.169195175,644.0828857
136,28.38837433,4.264675617,343.0063477
137,37.47887039,11.91053009,569.7512207
138,55.39409256,6.579650879,374.1636658
139,94.96434021,3.832981586,485.9536743
140,38.52127075,7.486682415,416.0846558
141,138.8569183,7.429121494,355.5151978
142,114.5225067,13.44204235,358.5127563
143,22.61209297,6.370221615,575.4106445
144,49.90142441,68.74717712,473.3735352
145,42.62393188,8.750319481,187.1625061
146,55.92614746,4.294912815,543.576416
147,122.4352875,2.932434082,526.3811035
148,76.18635559,4.445259571,637.9934082
149,21.90613556,19.75705719,583.5869751
150,17.77128983,3.427900314,583.4009399
151,99.95862579,60.09627914,519.5015259
152,24.2581234,3.546718597,331.4480896
153,69.86888885,12.62621307,524.5560303
154,89.36456299,7.779477119,420.1351624
155,49.18782425,5.711623192,292.4033508
156,24.06764793,8.329167366,389.4927368
157,55.71678543,66.33052826,364.553833
158,50.38174057,10.39946556,472.355957
159,58.91207123,8.243780136,574.3731079
160,42.48052216,9.640167236,262.1972961
161,55.94779968,16.82112885,413.8165894
162,130.6176147,72.35819244,626.2884521
163,48.1842308,22.51259041,420.1535034
164,66.49636078,12.25984478,716.6900635
165,64.92320251,10.37486553,455.4201965
166,49.61025238,4.768208504,437.3587036
167,204.0190735,21.61203766,576.2425537
168,46.66443634,2.582926273,361.45047
169,78.39187622,47.66592407,354.0253601
170,25.34228897,8.235498428,547.6886597
171,44.75806427,6.646437645,216.804718
172,36.54613495,8.962492943,483.9783936
173,40.7475853,14.94303322,260.4889832
174,45.61424637,6.703454018,449.4384766
175,38.71736145,18.34093094,351.7821655
176,89.30530548,42.54473877,289.1865234
177,11.25870228,31.04930687,438.1016235
178,104.9011078,6.246712685,557.4042969
179,65.96868896,15.7608223,474.2163696
180,132.7589417,56.39420319,539.1558228
181,105.7743759,6.645768166,551.1481323
182,69.95457458,14.6782589,298.7247314
183,22.63493538,5.692194462,786.3433838
184,38.92033768,16.62208939,172.1520996
185,28.72572708,33.54289246,422.9530945
186,30.42937088,13.7827301,341.5553284
187,21.3163414,3.938677788,417.9022217
188,74.44892883,45.64797592,231.8145142
189,22.75968361,105.5027008,507.4989624
190,82.63156128,77.60509491,417.0583496
191,91.48239136,30.50808716,386.1392822
192,114.5867081,13.58920479,310.293335
193,34.47247314,26.42045021,568.902771
194,26.45648956,14.96194839,480.7203369
195,50.41974258,4.99872303,461.1151123
196,26.81841278,24.97499084,624.786377
197,61.52342987,57.00211334,757.857666
198,221.5367279,42.1497345,404.582489
199,63.55265045,7.493017197,490.3023682
200,140.8703461,20.75524902,378.7702637
201,28.83012962,71.84767151,442.52005
202,48.41708374,50.90253067,375.8426208
203,90.29233551,21.07956886,302.0704651
204,12.85812378,8.91015625,406.9606018
205,63.68658447,45.18766022,300.5280151
206,52.30780792,4.945223808,396.6470947
207,125.3733673,4.855772972,424.2660522
208,50.04833984,36.83660507,363.3995056
209,152.5211792,1.204561949,487.1217957
210,98.05187225,47.09132767,522.3222046
211,91.68138123,4.889519215,544.0444336
212,81.0359726,17.39104652,469.4955444
213,5.098337173,3.542957544,334.7181091
214,77.34597778,7.621218681,598.2944946
215,106.9585571,48.53298187,299.4026794
216,46.34044647,3.89727211,401.4709778
217,41.32536316,3.346030235,164.6290131
218,31.3404007,8.183217049,706.2470703
219,8.824792862,64.80224609,456.3776855
220,66.7802887,9.95310688,571.5100098
221,130.6520538,30.72875214,395.3259583
222,102.6667099,21.46897697,459.1654663
223,32.18820572,7.773578167,458.2329102
224,26.69465256,10.01329803,425.1484375
225,65.48432922,23.1435318,420.0651855
226,14.90559387,7.006122589,599.6644897
227,28.26699448,5.501200199,311.4435425
228,54.94013214,13.53287888,427.1481323
229,40.85713959,5.01530838,611.7368164
230,134.2327271,4.337629318,513.5407715
231,125.4286346,39.29159164,483.5160522
232,41.36432648,10.89534569,369.1183472
233,51.75480652,6.116880894,432.3552246
234,74.93893433,5.021239758,499.8009949
235,25.66867256,21.22335625,394.5494995
236,39.25687408,55.61312866,585.3405762
237,50.91527176,36.54443741,291.6177673
238,168.0697632,31.00398254,263.8557129
239,83.06217194,27.10516739,281.8744202
240,22.58885193,28.37207031,695.6536255
241,92.11495972,23.17700386,504.0434265
242,49.52467346,26.63902283,536.0905151
243,150.1784058,13.83463097,430.6174622
244,17.37561607,17.70378494,523.8019409
245,21.84442139,17.38921738,595.9349365
246,93.03492737,3.344950914,446.4172058
247,28.46640015,24.60198593,601.1748047
248,105.4107056,27.52524185,244.5126648
249,42.05636597,12.86343002,507.0487671
250,101.7672348,19.79711342,613.305542
251,68.17149353,12.40813828,277.4420776
252,53.5945816,9.990509033,479.8707581
253,50.39953995,5.833683014,369.0437317
254,31.15570831,17.76156235,469.7649231
255,114.3229828,2.116445541,259.3679504
256,51.96933746,22.01930428,652.9818726
257,58.7908783,48.23477173,408.0066833
258,96.65411377,20.75504875,452.0241699
259,8.086348534,37.36632156,516.9744873
260,71.94968414,13.48757935,561.6068726
261,32.32668686,40.87428284,745.2023926
262,126.2390442,39.79339981,417.2597351
263,136.4348145,7.973603249,293.6549683
264,57.01276779,54.9812355,448.9397888
265,195.3620148,22.79301071,539.0812988
266,113.8274384,15.33767796,402.2642212
267,128.9494171,8.278121948,358.3313904
268,20.03572655,20.55602837,359.6876831
269,56.53999329,17.694767,453.1051941
270,70.34254456,14.12287998,244.8301086
271,136.1359406,4.484955788,594.1221924
272,62.73454285,19.25614357,438.2092285
273,68.59236145,63.83764648,351.1707458
274,119.2556458,32.17280197,477.7169495
275,56.48829269,8.691767693,465.7705994
276,83.13051605,5.059144974,470.9779358
277,48.63628387,44.80796814,442.5965881
278,31.03273201,25.66151428,299.9126587
279,45.17640686,6.080358028,424.5927429
280,115.4971466,9.455954552,306.9434204
281,97.77854919,47.59299088,544.7043457
282,62.74827957,39.50656128,489.9238281
283,61.35476685,4.881788254,584.4100342
284,27.16390228,29.16959953,315.1530762
285,42.14608002,34.57332611,372.343689
286,15.43727684,24.23303032,458.4411926
287,19.72116852,25.78922081,621.2064209
288,38.08937836,15.7573061,474.56427
289,21.92283821,37.80860519,371.8379211
290,34.78452682,40.54543304,292.9837341
291,26.36136246,14.85075569,425.7203979
292,41.31552887,12.89089012,288.2449036
293,33.26840973,22.90438461,528.1708984
294,110.0937653,30.78960037,478.6303101
295,49.8104248,2.546428204,387.7112732
296,50.05298615,3.128687859,440.039856
297,22.19711876,4.967947006,334.4953613
298,56.46414185,6.27511549,409.6333923
299,39.86162567,9.194540024,309.2164917
300,58.64458084,6.157175064,351.9036255
301,52.30639648,13.73096085,536.8370361
302,53.73713303,23.97632027,446.9016113
303,67.09140778,6.353710175,384.9752808
304,31.3353653,5.370458603,590.114502
305,47.01373291,6.964736938,458.5758362
306,42.53063202,4.426673412,335.3506775
307,68.33831024,3.783832073,318.6073914
308,41.70628357,9.677707672,386.4521484
309,36.38593674,5.570742607,336.7017517
310,53.9962883,2.639128685,356.1147461
311,23.12318039,3.641053438,353.3473816
312,30.16135216,9.193380356,359.7236328
313,67.27590942,1.46359241,692.1192627
314,48.47131348,73.07374573,628.1907959
315,63.54821777,26.92069244,383.5307312
316,80.26339722,6.562589645,531.0614014
317,83.17272186,30.6131897,378.9814758
318,41.07326508,9.884933472,434.9776611
319,23.73803139,1.519305944,503.1959839
320,72.89613342,7.863765717,365.8302612
321,55.29148483,14.09024239,640.2539673
322,91.13663483,56.78411102,430.4004211
323,32.58167648,2.511404991,422.2811279
324,75.30309296,13.72391701,476.4854431
325,145.3522491,4.044709682,481.4155579
326,15.01473236,4.257583618,566.8482666
327,65.93616486,8.21381855,422.0151062
328,55.46295166,0.810152054,314.8607788
329,89.86962891,29.7233429,428.1870117
330,16.61673546,17.54109955,321.6359863
331,40.39469147,13.46726227,414.7068481
332,27.74770737,1.902917266,314.6509094
333,28.5647049,15.90634918,681.7734375
334,49.83856964,66.35741425,481.5765076
335,53.30965424,50.31165314,424.6801758
336,33.31557846,28.52364731,301.541748
337,29.36863708,6.369529724,446.2798462
338,32.45184326,66.90577698,184.7732391
339,46.70104218,43.216362,452.9865112
340,86.7663269,35.68047714,168.345993
341,107.7837677,24.76024818,388.3070068
342,42.15823364,4.970478058,377.0690308
343,32.09139633,5.104128838,385.927002
344,16.90123367,34.73860931,416.0987854
345,63.3302536,27.01942635,363.8536377
346,8.788895607,9.318100929,559.9186401
347,44.12361145,3.040651798,497.6911621
348,50.81932449,37.12537766,476.7713013
349,56.61154556,5.137013435,399.350647
350,100.6507416,3.017002106,578.0537109
351,24.02205086,11.90169621,577.7064819
352,63.95299149,16.55085754,346.4376221
353,43.12034225,69.99187469,620.9016113
354,55.36513519,39.43843842,454.523468
355,71.97125244,4.054059982,316.4266663
356,32.67938995,3.032111406,370.7789307
357,65.25726318,18.19778442,586.3128662
358,20.65788651,13.58946609,555.1236572
359,11.80196285,9.042453766,316.3709717
360,61.295578,24.41437912,499.4137878
361,55.92013931,6.286696434,644.6921997
362,79.90763092,9.130302429,328.0966187
363,20.48319626,7.874220848,285.1519775
364,86.34796143,28.59757996,541.0068359
365,28.08442307,19.43502426,463.7200928
366,105.9371796,35.11938477,394.9638672
367,46.95475006,11.68943214,603.9512939
368,20.12948608,6.035876751,446.7389221
369,81.88072205,61.38539886,382.1628723
370,66.73535156,6.191586971,449.8445435
371,60.06341171,2.469586134,581.0092773
372,83.32602692,9.594552994,729.7251587
373,58.08248138,18.77858353,371.6635742
374,19.64338303,12.12833977,493.9231262
375,44.15267944,3.720113277,576.6359253
376,44.82694244,17.12602997,510.612854
377,32.86642838,9.727558136,438.9144287
378,73.33992004,9.140130997,334.8221436
379,24.69311333,4.645825863,509.0117493
380,66.74632263,2.272208214,367.4978638
381,66.0193634,8.210371017,359.926239
382,105.0085602,2.523890495,380.6247559
383,57.70895004,9.632462502,780.8403931
384,62.71649933,2.260399818,234.2537384
385,79.52080536,8.497566223,391.7609558
386,83.32508087,4.125228405,650.7375488
387,55.3718071,6.4341712,277.364502
388,32.99565887,18.0692482,506.5310669
389,65.63444519,16.10519981,617.8503418
390,37.26481247,1.295830846,482.9085083
391,133.2251587,12.22692776,480.2593994
392,63.82545471,2.222360134,507.9675293
393,73.7232132,6.946116924,447.8275146
394,93.41116333,5.621720791,430.0674744
395,41.62324524,19.43992043,381.9736938
396,34.36290741,15.82069683,503.469574
397,73.07455444,3.830602646,322.6025696
398,52.18503189,1.821352601,486.9697876
399,42.55554581,7.294457912,543.2062988
400,122.4358368,13.4966383,345.9701538
401,20.40702438,1.257456064,617.2924194
402,121.9906006,9.392113686,523.3410034
403,20.37348938,21.20558929,470.8092957
404,54.11458969,40.51253891,621.6569214
405,129.7688751,12.1797924,581.9578247
406,73.6780014,55.79799652,503.8314819
407,16.22619438,32.33112335,455.2455444
408,50.09534073,6.028864861,461.4518433
409,136.072525,59.89074707,553.5014648
410,35.25468826,3.536556721,366.5479736
411,86.32000732,4.180680275,326.8994141
412,50.73463821,6.499558449,359.8517761
413,40.31003952,16.93507385,304.4753113
414,27.51914215,24.99433136,380.2218933
415,118.5382843,38.88903427,444.833252
416,50.03211594,61.34820557,446.2003174
417,68.89942932,11.10932827,383.4377747
418,22.16122055,26.05768967,300.510376
419,64.37554169,6.204986572,320.3604736
420,54.41836548,48.89743423,324.673645
421,31.23848152,6.726347923,559.4013062
422,73.86445618,0.987876773,368.3435364
423,63.50666428,29.96955109,487.6517334
424,104.3496704,18.43233681,641.4051514
425,85.95923615,14.51088333,450.439209
426,49.38518906,7.595711708,546.196228
427,100.0064011,4.249904633,478.2521667
428,134.523468,51.02505112,251.207962
429,36.39598846,4.044637203,395.1197205
430,52.27022171,6.599761486,411.2937012
431,65.00399017,3.877016783,403.7677917
432,26.1083107,4.134194374,566.3720093
433,75.420578,7.782500744,508.3177795
434,72.29158783,5.202566147,628.8754272
435,70.94989014,6.561412811,394.4342346
436,23.21541786,11.63974953,503.5658264
437,84.63197327,1.547212362,397.1934509
438,57.64868927,8.068323135,352.3042603
439,16.37468529,8.68198967,504.6473389
440,49.68760681,1.681049705,472.4506226
441,61.10176849,85.0427475,444.2395935
442,75.6246109,20.1707325,265.2614441
443,36.42370224,8.136632919,397.6217346
444,52.69649506,1.723218918,358.5817261
445,44.10083771,20.8254509,357.9992676
446,47.28016663,50.2873764,556.1143799
447,36.02330399,52.5608139,344.1905823
448,43.9115448,20.20207405,450.4725342
449,22.20022011,2.654214144,325.8770142
450,51.37031937,34.64354324,383.9820862
451,33.67473221,5.889391899,317.3355408
452,13.88028908,6.12666893,524.4927368
453,50.98107529,4.61101532,418.3991699
454,34.65207672,1.726999283,410.9109497
455,24.61519623,9.082803726,659.1976929
456,34.61386871,53.02101898,555.682251
457,37.28011703,16.49403381,509.1429749
458,14.34949875,6.418623924,413.1426392
459,41.92214966,17.77554321,639.6381836
460,32.52664185,42.80874634,304.5609741
461,63.71552658,14.55756187,609.7301636
462,3.370776653,16.36731911,496.6867676
463,98.13513184,10.80891991,718.8314819
464,49.10028458,14.23735714,298.6182251
465,76.05249023,12.66639519,374.4139404
466,66.71893311,4.097263813,358.6469727
467,17.61967468,15.99572372,563.4407349
468,70.78059387,31.48662949,592.1273193
469,33.18629837,5.259963036,193.4912109
470,53.53509521,2.759554863,294.3948669
471,13.06313133,52.00855255,295.3482666
472,39.30658722,8.486593246,274.8651123
473,53.94345093,3.239861965,367.5401917
474,65.48408508,6.026590347,460.9780884
475,49.22489548,2.759738684,422.5725708
476,59.18902588,8.761795044,427.5245056
477,44.76481247,12.31319523,290.5269165
478,40.3202858,10.9995594,474.8952026
479,56.65740585,15.9957962,388.0550232
480,73.50226593,25.10814095,364.0603638
481,33.2376442,5.585278988,229.3179321
482,40.22258759,4.093609333,423.6605835
483,55.87091064,6.865459442,315.340271
484,39.47362518,13.30242157,529.7044678
485,84.91308594,8.839756012,388.6351013
486,30.24909973,53.82378387,460.0544434
487,143.5888367,44.46753693,417.8580017
488,69.62468719,11.87703228,378.8841248
489,102.087204,8.631964684,608.786377
490,11.92576694,7.324641228,485.1098022
491,65.74087524,5.905539036,447.0097351
492,89.92560577,7.759401798,418.7284241
493,29.40689468,22.2563858,504.9230347
494,26.42910194,7.764472485,612.0556641
495,66.12478638,39.79438019,440.7509766
496,29.57835388,28.47950554,383.3786926
497,34.9680748,10.72947407,607.3596802
498,47.69551849,2.072476387,611.3457031
499,16.31857872,34.18816376,372.0580139
500,37.86715698,93.2071228,529.2939453
501,62.6466713,20.50365448,392.0007629
502,23.72389412,4.331022263,484.6098328
503,67.05786133,7.377464294,349.5615234
504,34.03389359,38.7689209,472.5244751
505,85.00683594,16.39910889,447.1194153
506,31.24331093,33.79619598,384.7827148
507,82.40345764,3.774860859,381.4061279
508,51.10900116,6.582589149,424.2525024
509,56.62255859,19.2675209,587.8225098
510,52.33821487,1.893211365,314.3908997
511,101.9837799,24.79978371,599.0142822
512,84.04237366,2.091713905,223.1139069
513,18.66149902,50.00783539,545.8518066
514,21.09105682,1.875332236,207.4250793
515,42.0427475,18.10349464,543.293396
516,34.33625412,7.713027477,310.7674866
517,38.40987396,6.825809956,447.2502747
518,38.41970825,3.991961479,277.0891418
519,21.34023285,3.270264864,682.8933105
520,86.91013336,5.134988785,471.196106
521,72.69996643,4.213305473,582.0722656
522,24.81303024,3.84894371,675.7317505
523,33.20779419,1.046798468,270.911499
524,69.53564453,4.105714321,492.3288879
525,30.22879982,1.652459502,345.8221436
526,18.91278839,3.528134823,363.3668823
527,52.65435028,2.161029816,517.0739746
528,54.52251816,32.49595642,400.681488
529,55.72053528,7.106971264,353.5228271
530,23.60587692,1.948935151,596.1517944
531,15.33549309,9.631185532,438.4992371
532,149.308136,12.33640766,562.5855713
533,15.30183697,7.77029562,603.7998047
534,6.427425861,0.958799183,587.1976929
535,29.28724289,25.98258018,484.535614
536,84.44454193,16.45540428,459.0635071
537,55.93271255,8.164959908,360.2369385
538,77.55420685,15.8069706,396.6113586
539,16.81705093,47.76564789,510.0479431
540,56.06045914,2.159837246,334.6186829
541,28.03648567,28.77953529,484.5852051
542,48.89416122,3.650648355,613.6189575
543,43.59389496,8.235156059,575.482605
544,10.25326061,19.23757172,365.6759033
545,93.23365784,4.182822227,386.9770203
546,88.04876709,7.386084557,675.5531006
547,54.06331253,27.03715134,363.9411316
548,50.11037827,3.135944366,496.2904358
549,20.6439209,49.4881897,263.9595337
550,18.15878487,19.1098671,358.4472046
551,40.95094681,8.008420944,482.5164185
552,10.37513447,3.807265997,480.6828918
553,12.32524586,10.43993568,390.3173828
554,33.40231705,11.17627144,407.585907
555,16.84603882,4.206566334,405.0142517
556,20.17807388,6.609378815,350.9345093
557,30.28287125,14.27572918,347.1116943
558,48.33232117,19.9444561,308.7402344
559,13.40096951,13.87346268,543.5291138
560,64.06156921,14.73542213,352.4812012
561,16.61560822,2.664459467,276.0160217
562,32.38402939,18.36237335,427.4415283
563,25.14290047,10.32247162,342.4228516
564,91.21573639,1.174345493,421.7558289
565,28.83198166,10.3517437,597.3519287
566,31.85256004,16.55406952,444.6945496
567,48.44522858,39.5301857,723.0273438
568,36.12752533,8.347132683,660.067749
569,33.53962326,24.23760605,443.1607361
570,57.48859787,0.545958877,269.9212646
571,23.39648819,21.23273468,438.8170776
572,19.86634254,35.57211685,525.9437256
573,15.65434074,10.08967781,410.4734192
574,44.88323212,77.10844421,572.1361084
575,78.42855072,4.560121536,303.3730469
576,24.85348701,1.038414955,249.7716217
577,32.0561409,6.787837505,332.7319641
578,16.53776932,0.821302772,482.1191406
579,29.03012276,3.481748104,486.8747864
580,14.2371006,5.697584152,414.3668213
581,47.1550827,1.078687668,607.7492676
582,12.36296272,28.28362274,361.4499817
583,83.61732483,9.358830452,533.6436157
584,33.8881073,11.38495827,505.4089355
585,15.37073612,3.662141085,426.7217102
586,39.20820618,3.286629677,438.8866577
587,9.65397644,5.0014081,498.0661926
588,26.75201035,2.739005566,380.754364
589,115.0721588,9.392045975,438.3024902
590,28.38006973,3.495442152,505.7587585
591,25.50888443,3.98298502,311.1715088
592,49.02287292,5.933692932,319.7946167
593,22.99160194,7.070344925,664.2548828
594,20.09913635,2.019943714,234.5326233
595,43.63851547,7.616449356,558.9682007
596,104.6407471,5.680773735,535.2774048
597,77.30082703,4.614527225,440.8822021
598,55.6594429,3.982123613,483.9118958
599,32.85335159,0.601447284,392.2206116
600,50.14560318,1.175228953,233.4495544
601,12.04083252,5.904351234,417.5951538
602,59.87312317,10.90652657,398.5018005
603,31.8602066,58.90460968,492.2662659
604,24.32540894,4.675696373,460.8994141
605,26.55703735,11.06923866,313.2157898
